"","CellName","FACS_population","PassQC","TotalReads","UniqueMap","MulitMap","UnMap","UnMap_per","total_features_by_counts","pct_counts_MT","pct_counts_Ribosome","pct_counts_Hbb","cell_cycle","is_in_Fig_1B","Fig_1B_cluster","Fig_1B_UMAP1","Fig_1B_UMAP2","is_in_Fig_2C","Fig_2C_cluster","Fig_2C_UMAP1","Fig_2C_UMAP2"
"1","Cell_0001","E11.5_Fcs-HE","Pass",6048369,4722037,492105,834227,13.7925943341089,7791,5.032984421944,7.65349071767402,3.56395699016704e-05,"G2M","yes","C_4",-0.395396827369595,-0.490333392627758,"no",NA,NA,NA
"2","Cell_0002","E11.5_Fcs-HE","Pass",2979581,2004082,229189,746310,25.047481508306,6603,4.65820554004884,9.00808665832202,0.000506418431605237,"G1","yes","C_3",2.16722890341044,-0.945924642455342,"no",NA,NA,NA
"3","Cell_0003","E11.5_Fcs-HE","Pass",5816536,4282654,523463,1010419,17.3714905228817,7657,4.35773491243929,6.76302546524244,0.0305031345801083,"G1","yes","C_3",0.429354718446196,-2.55963616584287,"no",NA,NA,NA
"4","Cell_0004","E11.5_Fcs-HE","Pass",3387005,2271252,263335,852418,25.1673085808849,5901,4.94614301957449,7.91478800578968,0.0227803936745108,"G1","yes","C_3",1.09766152992125,-0.769599301537855,"no",NA,NA,NA
"5","Cell_0005","E11.5_Fcs-HE","Pass",5161459,3947809,418358,795292,15.408278938184,7130,4.68751409690799,6.73789142243645,0.476485742335998,"G1","yes","C_3",0.646313857621417,-0.977996125900394,"no",NA,NA,NA
"6","Cell_0006","E11.5_Fcs-HE","Pass",7954047,5454992,572995,1926060,24.2148430855387,6955,3.99725641011318,8.34457630910721,8.81994177074443e-05,"G1","yes","C_3",1.89955912827782,0.428650824606968,"no",NA,NA,NA
"7","Cell_0007","E11.5_Fcs-HE","Pass",6957301,5193526,572180,1191595,17.1272595507942,7467,3.70756761595193,8.30354049066418,6.23770587158372e-05,"G1","yes","C_3",0.648574253908042,-2.4883381064559,"no",NA,NA,NA
"8","Cell_0008","E11.5_Fcs-HE","Pass",6242214,4920069,436337,885808,14.190606089442,5579,2.72476316931625,8.27206193517634,0.00010156415570733,"G1","yes","C_2",1.62639025949645,-0.869333692007372,"no",NA,NA,NA
"9","Cell_0009","E11.5_Fcs-HE","Pass",7242627,5609159,535744,1097724,15.1564342606626,5567,3.64962246027541,7.3708816295588,0,"G1","yes","C_3",1.78548287089077,-0.930761662708617,"no",NA,NA,NA
"10","Cell_0010","E11.5_Fcs-HE","Pass",7143003,5454948,680466,1007589,14.1059579563385,6543,5.08852014599228,7.03469564986556,0.00167944216515851,"G1","yes","C_3",0.517492603739861,-1.37384796113123,"no",NA,NA,NA
"11","Cell_0011","E11.5_Fcs-HE","Pass",7897359,6274508,700867,921984,11.6745864028721,6420,4.28351183179259,6.46747661367134,0.000879821364679639,"G1","yes","C_3",1.61237935278025,-0.318025653551786,"no",NA,NA,NA
"12","Cell_0012","E11.5_Fcs-HE","Pass",8120013,6376204,759779,984030,12.1185766574512,7755,4.23681715416187,8.32524190458797,0.00178356254490119,"G1","yes","C_5",-0.951221585785352,-2.58644816779227,"no",NA,NA,NA
"13","Cell_0013","E11.5_Fcs-HE","Pass",9524851,7732385,826515,965951,10.141376489774,6351,4.49931592901214,5.99720614155363,0.000934650892002772,"G1","yes","C_5",0.294754759310205,-3.02874191574134,"no",NA,NA,NA
"14","Cell_0014","E11.5_Fcs-HE","Pass",8160815,6190302,695411,1275102,15.6246894458458,6668,4.31209084012073,7.25845167298251,0.00366321906339201,"G1","yes","C_5",0.0726283975181651,-3.22605136082441,"no",NA,NA,NA
"15","Cell_0015","E11.5_Fcs-HE","Pass",8814151,6988269,753110,1072772,12.1710190805671,6752,3.3912476457905,8.60457349337475,0.0249054345310038,"G1","yes","C_2",1.89759356974125,-1.43526105794753,"no",NA,NA,NA
"16","Cell_0016","E11.5_Fcs-HE","Pass",6833569,5118327,558670,1156572,16.9248602011628,7373,3.01961075271443,11.75752953916,0.00106438962420472,"G1","yes","C_3",1.36975925052907,-0.406227052555153,"no",NA,NA,NA
"17","Cell_0017","E11.5_Fcs-HE","Pass",4564690,3320906,383652,860132,18.8431635006977,7684,4.79875757143274,11.1750024681809,0.000102308017725887,"G1","yes","C_3",0.733698219500093,-1.26884315738384,"no",NA,NA,NA
"18","Cell_0018","E11.5_Fcs-HE","Pass",4806329,3827753,341562,637014,13.2536495108845,6590,4.22954885201677,9.90974916161512,0.000371730431711792,"G1","yes","C_3",1.974527068314,-0.705800866869705,"no",NA,NA,NA
"19","Cell_0019","E11.5_Fcs-HE","Pass",4475491,3492369,363337,619785,13.8484246756389,6366,3.72720568071999,10.0455920720427,0.000274678614576004,"G1","yes","C_3",1.39457577171356,0.0416011114225051,"no",NA,NA,NA
"20","Cell_0020","E11.5_Fcs-HE","Pass",5221946,4062514,432519,726913,13.9203469357975,6799,4.78308643502336,9.91322271340198,0,"G1","yes","C_3",1.9952755388388,-0.605881164666932,"no",NA,NA,NA
"21","Cell_0021","E11.5_Fcs-HE","Pass",4759807,3646471,355040,758296,15.9312341865962,5934,4.65165371301196,9.17660026227153,0,"G1","yes","C_2",1.61805809782816,-0.0515498424654845,"no",NA,NA,NA
"22","Cell_0022","E11.5_Fcs-HE","Pass",5662571,4489351,429425,743795,13.1352878400995,5773,2.5201068300635,10.7303912373515,0,"G2M","yes","C_4",-0.311607778518007,-0.748758510355516,"no",NA,NA,NA
"23","Cell_0023","E11.5_Fcs-HE","Pass",8247808,6567674,653540,1026594,12.4468707321994,7548,4.02805751842057,9.76611963938578,4.61639383009732e-05,"G1","yes","C_3",1.02304471055142,-0.859816336593269,"no",NA,NA,NA
"24","Cell_0024","E11.5_Fcs-HE","Pass",5483954,4188510,496520,798924,14.5683935350297,7058,6.14948110094333,8.59152647985071,0.00016038916827791,"G1","yes","C_5",0.0892544884625689,-2.87181936793288,"no",NA,NA,NA
