"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hbb-bt",2.19562505856441e-29,0.855900732548795,0.946,0.224,3.64298109717006e-25,"0","Hbb-bt"
"Chil5",6.67655540936491e-21,1.07334610692579,0.875,0.263,1.10777407352183e-16,"0","Chil5"
"H2afy",7.89120438289968e-19,1.11584991738802,1,1,1.30930863121072e-14,"0","H2afy"
"Ddx4",1.72332880612973e-18,0.621869185559268,0.625,0.088,2.85934715513045e-14,"0","Ddx4"
"AI662270",1.50008131019446e-17,1.11802177981454,1,0.688,2.48893490987465e-13,"0","AI662270"
"Stap1",2.24681690414917e-17,0.681697956813575,0.857,0.239,3.7279186073643e-13,"0","Stap1"
"Ptpn7",5.00203522584174e-17,1.20751522976855,0.964,0.58,8.29937684671662e-13,"0","Ptpn7"
"Dnmt3b",5.80391333723229e-17,1.35116191832483,1,0.776,9.62985300913582e-13,"0","Dnmt3b"
"Ebi3",6.78954793844424e-16,0.712773948984164,1,0.517,1.12652179394667e-11,"0","Ebi3"
"Samsn1",1.18525443172706e-15,0.940273486737344,1,0.702,1.96657415312153e-11,"0","Samsn1"
"Cnrip1",3.13810987959406e-14,0.827324278358758,0.911,0.405,5.20675191222246e-10,"0","Cnrip1"
"Gcnt2",3.82248690624211e-14,1.0178559679256,1,0.717,6.34227027483691e-10,"0","Gcnt2"
"Rassf5",4.72901826026672e-14,0.666311146318554,0.911,0.434,7.84638709743454e-10,"0","Rassf5"
"Ifi203",5.18556250348124e-14,0.981497676953831,0.839,0.263,8.60388530577608e-10,"0","Ifi203"
"Dock2",1.5422800193229e-13,0.939971472575453,1,0.678,2.55895100806056e-09,"0","Dock2"
"Gmfg",2.15810551168085e-13,0.422497461716849,1,0.746,3.58072866498087e-09,"0","Gmfg"
"Car2",2.4487118914965e-13,0.989557124075869,1,0.654,4.06290277037099e-09,"0","Car2"
"Arhgef6",2.52130113638812e-13,1.22076712426738,1,0.673,4.18334284549516e-09,"0","Arhgef6"
"Tbc1d10c",2.55203896828892e-13,0.782087365311091,0.911,0.507,4.23434305618497e-09,"0","Tbc1d10c"
"Pglyrp2",3.29416554269984e-13,0.783473206071807,0.929,0.483,5.46567946844757e-09,"0","Pglyrp2"
"Sesn1",3.34698867231245e-13,1.26640444749159,1,0.834,5.55332360510081e-09,"0","Sesn1"
"Gem",5.82013169193271e-13,0.84095457003066,0.893,0.507,9.65676250325475e-09,"0","Gem"
"Cd27",6.80487797927484e-13,0.856613637401752,0.929,0.449,1.12906535432128e-08,"0","Cd27"
"Coro1a",8.50970599725628e-13,0.940297806129669,1,0.795,1.41193041906476e-08,"0","Coro1a"
"Ikzf2",1.4579744764573e-12,0.933937574864937,1,0.634,2.41907125133796e-08,"0","Ikzf2"
"Lsp1",1.67410574978339e-12,0.685489762243067,1,0.678,2.7776762600406e-08,"0","Lsp1"
"Myo1f",2.11036414595992e-12,0.257302882623511,0.982,0.473,3.5015161909767e-08,"0","Myo1f"
"Gm19590",2.39409505940374e-12,0.351560915430969,0.857,0.366,3.97228252256269e-08,"0","Gm19590"
"Mpl",3.09222976867603e-12,0.750377473553945,1,0.615,5.13062763218727e-08,"0","Mpl"
"Ramp1",3.25925733737375e-12,0.361791535389061,0.893,0.41,5.40775977417053e-08,"0","Ramp1"
"Pou2f2",3.35906231642752e-12,0.408372846702604,0.875,0.415,5.57335619541654e-08,"0","Pou2f2"
"Adgrl4",3.52447408272269e-12,1.27519229930632,1,0.839,5.84780739805349e-08,"0","Adgrl4"
"Smim6",3.54124509465104e-12,0.353019612128198,0.536,0.137,5.875633861045e-08,"0","Smim6"
"Hlf",3.88364464030879e-12,0.962626633216453,0.982,0.634,6.44374318720034e-08,"0","Hlf"
"Sept6",4.10199859782455e-12,1.0086761554328,1,0.81,6.80603607351049e-08,"0","Sept6"
"Plgrkt",4.3118654097961e-12,0.816621254602567,1,0.732,7.15424708793369e-08,"0","Plgrkt"
"Rgs18",5.92012563456248e-12,0.361930160019561,0.946,0.405,9.82267245286607e-08,"0","Rgs18"
"Nefh",1.53326074889021e-11,0.464230978934794,0.536,0.122,2.54398623455863e-07,"0","Nefh"
"Isoc1",1.85993248791632e-11,0.87395476551838,1,0.888,3.08599998395076e-07,"0","Isoc1"
"Pag1",2.18964442345711e-11,0.628431325368804,0.821,0.405,3.63305802740003e-07,"0","Pag1"
"Ptprc",2.42223667003412e-11,0.872397907698854,1,0.654,4.01897508292062e-07,"0","Ptprc"
"Bcl11a",3.58564398383346e-11,0.938364100717248,1,0.795,5.94930049797648e-07,"0","Bcl11a"
"mt-Nd5",6.64041922346876e-11,0.592698574018079,1,1,1.10177835755794e-06,"0","mt-Nd5"
"Rsbn1l",9.92673721372422e-11,0.557526525523609,1,0.849,1.64704423850112e-06,"0","Rsbn1l"
"Ikzf1",1.17384352240554e-10,1.00896692799453,0.982,0.688,1.94764117237527e-06,"0","Ikzf1"
"Dok2",1.60890557625707e-10,0.694991695415823,0.911,0.512,2.66949613212573e-06,"0","Dok2"
"Plcb2",1.64671139917319e-10,0.746697739857595,0.982,0.649,2.73222355350816e-06,"0","Plcb2"
"Paics",2.73951977956392e-10,0.753622015092646,1,0.985,4.54541121825245e-06,"0","Paics"
"Mbtd1",3.49201855563736e-10,0.717584625260823,1,0.941,5.7939571875135e-06,"0","Mbtd1"
"Eef1a1",5.0045446576417e-10,0.363791195951763,1,1,8.3035404959591e-06,"0","Eef1a1"
"Rac2",6.28924818107303e-10,0.703258294864162,1,0.659,1.04351205820364e-05,"0","Rac2"
"Was",6.61952874437781e-10,0.367880259165249,0.982,0.673,1.09831220926717e-05,"0","Was"
"Tnfrsf25",9.81156319377002e-10,0.306836657447701,0.714,0.273,1.62793456511032e-05,"0","Tnfrsf25"
"Srsf7",1.07913452095878e-09,0.711525023484018,1,0.956,1.7904999971748e-05,"0","Srsf7"
"Tspan32",1.1420218867647e-09,0.718216136653371,1,0.644,1.89484271451999e-05,"0","Tspan32"
"Stat4",1.14986984804714e-09,0.991434973338102,0.946,0.566,1.90786405187981e-05,"0","Stat4"
"Plekha2",1.15167078776936e-09,0.659705058798301,0.857,0.517,1.91085217106692e-05,"0","Plekha2"
"Psip1",1.1545796693078e-09,0.826493307195792,0.982,0.946,1.9156785873155e-05,"0","Psip1"
"Epsti1",1.52419008731348e-09,0.363108960813194,0.786,0.298,2.52893619287053e-05,"0","Epsti1"
"Ankrd13a",1.60741164584314e-09,0.740073005488172,1,0.99,2.66701740278294e-05,"0","Ankrd13a"
"Ssbp2",1.64443273496863e-09,0.690519005315712,0.946,0.829,2.72844279385996e-05,"0","Ssbp2"
"Etnk1",1.98132091503874e-09,0.624245609638309,1,0.961,3.28740766223229e-05,"0","Etnk1"
"Cyfip2",2.01940803848072e-09,0.729959181611602,0.964,0.683,3.35060181744722e-05,"0","Cyfip2"
"Rbm39",2.05683550027235e-09,0.708724880932868,1,1,3.41270146205188e-05,"0","Rbm39"
"Commd3",2.33196482797019e-09,0.349959302130489,0.911,0.761,3.86919604256813e-05,"0","Commd3"
"Retreg1",2.4790798025086e-09,0.9874655564264,0.839,0.512,4.11328920832227e-05,"0","Retreg1"
"Prkcq",2.99828658984302e-09,0.405205640487219,0.661,0.254,4.97475710986754e-05,"0","Prkcq"
"Hmga1",3.31161713528904e-09,0.579027075334514,1,1,5.49463515087157e-05,"0","Hmga1"
"Psd4",4.0586443535094e-09,0.434737747281884,0.964,0.541,6.73410271134279e-05,"0","Psd4"
"Pabpc1",4.87343797034193e-09,0.439175288612878,1,1,8.08600828039133e-05,"0","Pabpc1"
"Npm1",5.83302685268325e-09,0.466311530307414,1,1,9.67815815397205e-05,"0","Npm1"
"Pak1",5.97169979637144e-09,0.866743168611829,0.946,0.659,9.9082443021395e-05,"0","Pak1"
"Serpinb6b",7.24024203048369e-09,0.708712078815532,0.732,0.376,0.000120130095769785,"0","Serpinb6b"
"Il16",7.27909830241365e-09,0.565555236642336,0.911,0.649,0.000120774799033647,"0","Il16"
"Adcy7",7.83378901060363e-09,0.88524153837456,0.982,0.659,0.000129978227263935,"0","Adcy7"
"B9d2",7.87052500137685e-09,0.402384373492619,0.929,0.615,0.000130587750822845,"0","B9d2"
"Pnp",8.63371822687792e-09,0.649958370468947,1,0.971,0.000143250652820358,"0","Pnp"
"Rpl4",9.37977703856411e-09,0.397371267147763,1,1,0.000155629260623856,"0","Rpl4"
"Parp3",9.71545741635787e-09,0.331860197773729,0.518,0.151,0.00016119886945221,"0","Parp3"
"Arhgap30",1.00964969479238e-08,0.31016564538718,0.696,0.254,0.000167521077359951,"0","Arhgap30"
"Nckap1l",1.13485620158204e-08,0.640898686482668,0.946,0.585,0.000188295340966492,"0","Nckap1l"
"Dpp4",1.2431486176384e-08,0.308009075875681,0.5,0.141,0.000206263218638564,"0","Dpp4"
"Slc35d3",1.29189259566668e-08,0.257261082499649,0.482,0.137,0.000214350819473015,"0","Slc35d3"
"Serbp1",1.49896160905847e-08,0.474828293198501,1,1,0.000248707710174981,"0","Serbp1"
"Nup210",2.05585548891955e-08,0.479416753208409,1,0.766,0.000341107542721531,"0","Nup210"
"Arhgdib",2.06834878886626e-08,0.355154648078768,1,0.932,0.000343180431048689,"0","Arhgdib"
"Slc38a1",2.22608553340999e-08,0.531597764274006,1,0.893,0.000369352111703386,"0","Slc38a1"
"Hnrnpf",2.38061797622853e-08,0.47091732124857,1,1,0.000394992134615837,"0","Hnrnpf"
"Vipr2",2.50203316077616e-08,0.6045859199341,0.75,0.332,0.00041513734203598,"0","Vipr2"
"Sigirr",2.52866239553672e-08,0.540838455930637,0.839,0.6,0.000419555664667452,"0","Sigirr"
"Ncoa7",3.3092017802216e-08,0.60993264389194,0.946,0.741,0.000549062759374368,"0","Ncoa7"
"Mcm6",3.50490645580095e-08,0.792797813278133,1,0.941,0.000581534079146494,"0","Mcm6"
"Elf1",4.30809600556301e-08,0.618774105751762,0.964,0.829,0.000714799289243014,"0","Elf1"
"Ccdc88b",4.43404687071155e-08,0.479051755943111,0.804,0.42,0.000735697056788461,"0","Ccdc88b"
"Hmgn2",4.7095806776038e-08,0.376825422425281,1,1,0.000781413626028023,"0","Hmgn2"
"Angpt1",5.66401790492057e-08,0.672017037418002,1,0.707,0.000939773850784421,"0","Angpt1"
"Nrros",6.02721847217826e-08,0.612647297698848,1,0.834,0.00100003608890382,"0","Nrros"
"Myb",6.78821523770011e-08,0.712672466766771,1,0.741,0.0011263006722392,"0","Myb"
"Ptp4a2",6.81332116439139e-08,0.548461472550369,1,1,0.00113046624759582,"0","Ptp4a2"
"Stmn1",7.44663084729596e-08,0.658027889819727,1,0.99,0.00123554499018335,"0","Stmn1"
"H13",8.03140049539697e-08,0.485488740912002,1,0.878,0.00133256997019626,"0","H13"
"Gm8113",8.34104819263232e-08,0.791877376691967,0.661,0.356,0.00138394671612156,"0","Gm8113"
"Pdk3",8.9300813977749e-08,0.828406418084008,1,0.795,0.00148167910551881,"0","Pdk3"
"Hacd4",9.60799948519301e-08,0.818532091751881,0.946,0.737,0.00159415927458322,"0","Hacd4"
"Itga4",9.89042118181975e-08,0.593660854443985,1,0.766,0.00164101868248753,"0","Itga4"
"Nfam1",1.39924785176893e-07,0.354466469207965,0.75,0.405,0.00232163203565501,"0","Nfam1"
"Emid1",1.52747827655582e-07,0.397232215566953,0.839,0.478,0.00253439195646142,"0","Emid1"
"Pik3cg",1.55565614893148e-07,0.720548619474802,0.946,0.717,0.00258114468230712,"0","Pik3cg"
"Flt3",1.5730362699233e-07,0.698515021547275,0.661,0.302,0.00260998177905674,"0","Flt3"
"4931406C07Rik",1.71888442637975e-07,0.441343816920867,0.964,0.595,0.00285197304024928,"0","4931406C07Rik"
"Rbbp7",1.8654711828522e-07,0.524346794937133,1,0.985,0.00309518978658837,"0","Rbbp7"
"Gng10",1.96129839734491e-07,0.351037903761999,0.875,0.688,0.00325418630087468,"0","Gng10"
"Strbp",2.02795045899586e-07,0.611915822564315,0.929,0.805,0.00336477540156593,"0","Strbp"
"Parvg",2.03222760323617e-07,0.315434450607133,0.857,0.429,0.00337187203928946,"0","Parvg"
"Rnasel",2.11990438919707e-07,0.502701115501045,0.893,0.624,0.00351734536255578,"0","Rnasel"
"Usp1",2.13437692545277e-07,0.764215038279771,0.982,0.859,0.00354135819471123,"0","Usp1"
"Ikbke",2.18950793970558e-07,0.459344802047617,0.589,0.239,0.0036328315735595,"0","Ikbke"
"Mbnl1",2.23871798939703e-07,0.542243976310594,1,0.971,0.00371448088800755,"0","Mbnl1"
"Fermt3",2.25676764786683e-07,0.488284206389595,1,0.746,0.00374442888134065,"0","Fermt3"
"Apobec3",2.32163918966279e-07,0.649960317339257,0.964,0.849,0.00385206374348851,"0","Apobec3"
"Efr3a",2.46085542014455e-07,0.621007466233273,0.946,0.863,0.00408305131310383,"0","Efr3a"
"Cggbp1",2.55082220855574e-07,0.679406907320228,0.982,0.927,0.00423232420843568,"0","Cggbp1"
"Srsf2",2.77122931927444e-07,0.556017010111485,1,0.976,0.00459802368654014,"0","Srsf2"
"Eed",3.16137843610954e-07,0.616140401479896,0.964,0.849,0.00524535910119295,"0","Eed"
"C030034L19Rik",3.28932371344033e-07,0.339647565135586,0.339,0.078,0.0054576459053402,"0","C030034L19Rik"
"Ripk3",3.42087237405503e-07,0.549975292420001,1,0.785,0.00567591144303211,"0","Ripk3"
"Cnbp",3.42517745284969e-07,0.432172305877728,1,1,0.0056830544297682,"0","Cnbp"
"Heatr5a",3.50708738203254e-07,0.680104664631088,0.982,0.878,0.0058189593842684,"0","Heatr5a"
"Mns1",3.70246453122918e-07,0.548993498372339,0.804,0.517,0.00614312915021546,"0","Mns1"
"Hsp90aa1",3.80554317452923e-07,0.409873098740496,1,1,0.00631415723517889,"0","Hsp90aa1"
"Dennd2d",4.14261037029593e-07,0.612147326962006,0.768,0.434,0.00687341912639501,"0","Dennd2d"
"Slamf1",4.74467926503069e-07,0.274896216364028,0.375,0.093,0.00787237183653893,"0","Slamf1"
"Cdca7",5.03461083086531e-07,0.85496474760857,0.929,0.893,0.00835342629057172,"0","Cdca7"
"Tent4b",5.28683057646444e-07,0.533190833796446,0.911,0.737,0.00877190929246981,"0","Tent4b"
"Prim1",5.51741982310463e-07,0.725484370534107,0.911,0.771,0.00915450297049521,"0","Prim1"
"Dapp1",5.81207355034045e-07,0.667501030678164,0.982,0.751,0.00964339243472487,"0","Dapp1"
"Ethe1",6.45508757515243e-07,0.252860126697883,0.75,0.439,0.0107102813046929,"0","Ethe1"
"Gbp7",6.68158481079037e-07,0.324670973818632,0.893,0.61,0.0110860855180634,"0","Gbp7"
"Snx2",6.94750434862316e-07,0.253798821338188,1,0.941,0.0115272992152355,"0","Snx2"
"Dkc1",7.20869645334584e-07,0.635518033855973,1,0.863,0.0119606691553914,"0","Dkc1"
"Plxnc1",7.27293224058098e-07,0.371930963145487,0.946,0.663,0.012067249173572,"0","Plxnc1"
"Postn",8.16694863347742e-07,0.464110731678015,0.464,0.156,0.0135506011726657,"0","Postn"
"Irf8",9.8733572830781e-07,0.28448437718073,0.571,0.224,0.0163818744040832,"0","Irf8"
"Pde4d",9.95752811403548e-07,0.467001336823241,0.643,0.361,0.0165215306468077,"0","Pde4d"
"Rbp1",1.0737234638444e-06,0.493012267944855,1,0.79,0.0178152197121063,"0","Rbp1"
"4833420G17Rik",1.16889790576901e-06,0.600516779471298,0.964,0.82,0.0193943540525193,"0","4833420G17Rik"
"Capg",1.18146721627073e-06,0.399131055871081,0.982,0.868,0.019602904052364,"0","Capg"
"Wnk1",1.18147010725373e-06,0.499412598139695,1,1,0.019602952019554,"0","Wnk1"
"Sdhc",1.25274393747785e-06,0.52469652730236,1,0.932,0.0207855274106325,"0","Sdhc"
"Celf2",1.31389327674204e-06,0.63873239408412,1,0.839,0.0218001172477039,"0","Celf2"
"Rere",1.40084927827757e-06,0.513623131374421,0.982,0.883,0.0232428912251814,"0","Rere"
"Acp5",1.5017063603293e-06,0.280438732842575,0.518,0.224,0.0249163119305838,"0","Acp5"
"Atp13a2",1.50767409121758e-06,0.510496465724493,1,0.815,0.025015328521482,"0","Atp13a2"
"Slc9a3r1",1.5496440941397e-06,0.567447081289532,0.982,0.761,0.0257116948099658,"0","Slc9a3r1"
"Nfe2",1.55466950493613e-06,0.488598716813058,0.982,0.688,0.0257950764259003,"0","Nfe2"
"mt-Nd6",1.74580932142127e-06,0.413424873606449,1,0.995,0.0289664682610218,"0","mt-Nd6"
"Cybc1",1.75489225627157e-06,0.83172177848802,0.893,0.776,0.0291171723160578,"0","Cybc1"
"Oxct1",1.87907863121105e-06,0.748177456905999,0.929,0.756,0.0311776726490538,"0","Oxct1"
"Lrmp",2.03749987770815e-06,0.527229502504631,0.964,0.776,0.0338061979709337,"0","Lrmp"
"Smyd3",2.07027899856058e-06,0.494498872204454,0.821,0.561,0.0343500691441171,"0","Smyd3"
"Selenbp1",2.11794656980792e-06,0.328286306177685,0.946,0.61,0.0351409694862531,"0","Selenbp1"
"Dek",2.12796532829835e-06,0.588549078270151,1,0.985,0.0353072007271263,"0","Dek"
"Zfp36l2",2.21344645686175e-06,0.636494632436823,1,0.98,0.0367255036122502,"0","Zfp36l2"
"Hook1",2.23747800756657e-06,0.655660482891188,0.821,0.507,0.0371242351015445,"0","Hook1"
"Vezf1",2.68782321004362e-06,0.630478960033956,0.982,0.898,0.0445963627010438,"0","Vezf1"
"Myo1g",2.72939247279384e-06,0.56070020722604,0.804,0.459,0.0452860799085954,"0","Myo1g"
"Ccnd1",2.76796152899237e-06,0.290284616654613,0.804,0.454,0.0459260176890415,"0","Ccnd1"
"Casp2",3.0080081440642e-06,0.615977653784969,0.982,0.878,0.0499088711263133,"0","Casp2"
