,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,means,dispersions,dispersions_norm,mean,std
Xkr4,0.0,0.072910495,0,4.4246926,1.5950893,1.3990924,False,0.0019497011478650272,0.723884175673691,1.2530024,0.0011231045977903335,0.03273905716446243
Gm19938,0.0,0.076467104,0,1.8132478,1.7141317,1.0578228,False,0.001237960225613959,-1.0893146936467621,-0.25409868,0.0010708256730858827,0.017329414848895254
Gm37381,0.0,0.013633669,0,0.020573206,0.078803435,0.26106992,False,0.00019747208378687064,-3.8345943653818897,-2.5359302,0.0001953751135476823,0.0020401119547879573
Rp1,1.0,0.2294013,1,14.932516,7.502858,1.9902437,False,0.0034151841658093423,-0.028389348482473764,0.62772506,0.002447772812991264,0.03864874296380808
Sox17,1.0,98.06461,1,34535.21,9632.2295,3.5853808,True,0.9222581749444531,1.4950831515953371,2.4877014,0.5755382343659333,0.7582758017389387
Gm37587,0.0,1.0136337,0,49.464226,47.113995,1.049884,False,0.014798067666403276,-0.3774154692920006,0.33762026,0.011558596283331649,0.07271794148614445
Mrpl15,0.0,98.94369,0,6784.907,9757.155,0.6953776,False,0.914371066713824,-0.23769716119022052,-0.8614924,0.8154157759248616,0.4560504304201709
Lypla1,0.0,44.922348,0,2077.6992,3373.7566,0.6158415,False,0.522530114645388,-0.4348065571183583,-1.1938279,0.45691006779074445,0.352443306395575
Tcea1,0.0,62.529934,0,2491.2896,5180.7817,0.48087135,False,0.6875022091288354,-0.5295556983288158,-1.4011999,0.6221524457285417,0.35655580622643324
Rgs20,0.0,0.22465916,0,6.476782,7.304588,0.88667315,False,0.0033299297182994144,-0.8318009615492543,-0.04005749,0.0027905845686421195,0.030599786898471235
Atp6v1h,0.0,56.263187,0,3135.4775,4508.1675,0.69551045,False,0.6339327722874989,-0.13594942674127758,-0.53973603,0.5417058750562143,0.4203172565704046
Rb1cc1,0.0,27.48192,0,1736.6437,1820.3228,0.95403063,False,0.371623154721178,0.11730137605842936,0.26598272,0.2954570899880618,0.35708875552599134
4732440D04Rik,0.0,2.1155899,0,95.6788,114.61172,0.83480823,False,0.03306833960146585,-0.22939742809146002,0.46065044,0.025554858517404928,0.10920680112754927
St18,0.0,0.06876112,0,2.3748658,1.4587753,1.6279861,False,0.0011665294156616114,-0.5631995047507741,0.18319963,0.0009321177072863122,0.01989249074682287
Pcmtd1,0.0,14.58032,0,708.9839,919.0247,0.7714525,False,0.21214728985734527,-0.2347480584410746,0.45620307,0.17188333208500803,0.2594345842572623
Gm26901,0.0,0.69887376,0,24.14533,30.456522,0.79278034,False,0.011300025710611122,-0.6258288024613327,0.13114318,0.009252226273786255,0.058525429542129075
Sntg1,0.0,0.01719028,0,0.2624564,0.12303603,1.3966349,False,0.0002354446782484364,-1.512396301226281,-0.6057572,0.0002131865277468446,0.0064260992633061505
Rrs1,0.0,46.425014,0,3038.3347,3518.6072,0.86350495,False,0.525890920444212,-0.17807139529357907,-0.631926,0.43850004593442143,0.406315540246709
Adhfe1,1.0,0.3900415,1,27.704243,14.832777,1.6907456,False,0.006478693942529448,-0.09168443983667902,0.5751152,0.00474206126323539,0.05192031165385288
2610203C22Rik,0.0,7.7895675,0,434.46994,478.2026,0.9085478,False,0.1145955501177765,-0.025399410575563258,0.6302102,0.08849009284614326,0.20191075297548203
Vxn,0.0,0.18435092,0,8.248913,5.664481,1.4562521,False,0.0030211547359836385,-0.41081905127386287,0.30985576,0.0023442092052322863,0.03346296096885959
