,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,means,dispersions,dispersions_norm,mean,std
Xkr4,0.0,0.072910495,0,4.4246926,1.5950893,1.3990924,True,0.0024109535086509043,0.841017733979624,1.3834468,0.0012933391327562226,0.03766795207786976
Gm19938,0.0,0.076467104,0,1.8132478,1.7141317,1.0578228,False,0.00126333553464122,-1.0680005714706695,-0.09853737,0.0010898525802103664,0.01764074143682153
Gm37381,0.0,0.013633669,0,0.020573206,0.078803435,0.26106992,False,9.999999999995e-13,,,0.0,1.0
Rp1,1.0,0.2294013,1,14.932516,7.502858,1.9902437,False,0.004706644602591175,0.0022181614235179917,0.73228085,0.0033376689829381725,0.04594446302252692
Sox17,1.0,98.06461,1,34535.21,9632.2295,3.5853808,True,1.1074164280715526,1.4260841479196986,2.2114992,0.7503671567323685,0.807410166236505
Gm37587,0.0,1.0136337,0,49.464226,47.113995,1.049884,False,0.020554882174708987,-0.36880243673077406,0.444255,0.016037927181661738,0.08595415624962034
Mrpl15,0.0,98.94369,0,6784.907,9757.155,0.6953776,False,0.9252765236378478,-0.19902148482497425,-0.9126955,0.8230693851571496,0.46347467540354526
Lypla1,0.0,44.922348,0,2077.6992,3373.7566,0.6158415,False,0.5481760397915721,-0.4283998046788515,-1.3732324,0.47873753474862296,0.3653648227495236
Tcea1,0.0,62.529934,0,2491.2896,5180.7817,0.48087135,False,0.6959475322217217,-0.4795401657744527,-1.5024215,0.6260246200053403,0.37007393575732783
Rgs20,0.0,0.22465916,0,6.476782,7.304588,0.88667315,False,0.0035126034256866253,-0.8911913008577719,0.038720895,0.0029630991206927733,0.031065643720409486
Atp6v1h,0.0,56.263187,0,3135.4775,4508.1675,0.69551045,False,0.6482861252720421,-0.09438556587856495,-0.5294561,0.5522716492564815,0.42908504407684833
Rb1cc1,0.0,27.48192,0,1736.6437,1820.3228,0.95403063,False,0.3927897556009564,0.11753986172320803,0.29867876,0.3147792254029413,0.36291406127040604
4732440D04Rik,0.0,2.1155899,0,95.6788,114.61172,0.83480823,False,0.03522117199877071,-0.2019363204033983,0.5737943,0.026994410709587947,0.11426517777054142
St18,0.0,0.06876112,0,2.3748658,1.4587753,1.6279861,False,9.999999999995e-13,,,0.0,1.0
