,X_umap1,X_umap2
cell_1,-2.8896275,2.0453093
cell_2,-2.076478,2.4490616
cell_3,-2.876789,1.6317899
cell_4,-1.9904763,3.002039
cell_5,-2.6045735,1.4595238
cell_6,-1.0386559,3.3381915
cell_7,-3.5439813,1.7169756
cell_8,-3.30566,1.6215627
cell_9,-2.9927142,1.150634
cell_10,-3.5649495,2.0714927
cell_11,-2.6198952,2.2260864
cell_12,-3.1775167,2.0321388
cell_13,0.45020798,4.7964168
cell_14,-3.3347566,2.0369232
cell_15,-2.9709327,1.5704007
cell_16,-3.631762,2.0260057
cell_17,-2.8135126,1.8977737
cell_18,-3.1334617,1.7340187
cell_19,-2.444806,2.0816026
cell_20,-0.8498378,3.6445386
cell_21,-2.369144,1.7623609
cell_22,-3.677344,1.8530953
cell_23,-2.6811543,1.6850858
cell_24,-2.5324547,2.6980455
cell_25,1.6031264,6.827991
cell_26,2.9887972,6.4453316
cell_27,-2.8437715,2.0705218
cell_28,-3.6358848,2.6575406
cell_29,-2.4150517,2.8563466
cell_30,0.74013484,5.4936004
cell_31,-0.3135544,4.322911
cell_32,-0.50928015,4.0095043
cell_33,-3.1426852,2.1622357
cell_34,-3.0857975,1.7186934
cell_35,-3.0483892,1.4743189
cell_36,-3.5200126,1.6758869
cell_37,-3.226349,1.9511224
cell_38,4.858118,4.269788
cell_39,4.0399704,4.5285397
cell_40,4.455346,4.676405
cell_41,4.037428,3.3299408
cell_42,0.98085666,4.8222694
cell_43,2.8522222,4.5911584
cell_44,3.6258059,4.7046194
cell_45,5.1286397,3.4264371
cell_46,3.221117,5.844132
cell_47,4.4664783,2.9488833
cell_48,1.7339264,5.139172
cell_49,3.6615744,3.1185467
cell_50,1.7370634,5.2373333
cell_51,3.7786045,6.0226183
cell_52,3.3696096,3.5923626
cell_53,2.3043613,4.5391684
cell_54,4.0942717,5.3222785
cell_55,1.3735874,5.4884343
cell_56,2.4058447,4.3619123
cell_57,1.1740599,5.40985
cell_58,4.496436,4.620525
cell_59,2.6708827,5.4771204
cell_60,2.6967642,5.9706445
cell_61,4.349628,5.1067357
cell_62,-1.7913532,1.6695608
cell_63,3.4809768,4.6392655
cell_64,3.120461,3.3897092
cell_65,2.6984081,3.6451585
cell_66,4.4371414,4.49043
cell_67,2.522396,4.51984
cell_68,2.9941654,4.6000705
cell_69,2.7538252,3.641287
cell_70,1.8942325,4.691178
cell_71,3.9399164,3.3686073
cell_72,2.9778273,4.952557
cell_73,2.9491878,4.1110344
cell_74,2.4002526,5.8945193
cell_75,4.467737,4.4632945
cell_76,4.1659346,2.719323
cell_77,3.9503329,5.4677205
cell_78,1.1641141,5.742258
cell_79,4.0143385,2.7479846
cell_80,5.2112727,2.9917336
cell_81,4.7283797,3.132216
cell_82,3.9331722,4.56184
cell_83,5.248274,3.9538643
cell_84,5.825485,2.473102
cell_85,4.4030466,4.349896
cell_86,1.8589345,5.0663176
cell_87,6.8812957,3.34237
cell_88,6.8036113,2.214761
cell_89,5.396792,3.4835937
cell_90,5.794958,3.4750416
cell_91,5.6212087,3.724711
cell_92,6.6615095,3.3677723
cell_93,5.351979,3.7023528
cell_94,4.2132406,3.087922
cell_95,4.499766,4.6712723
cell_96,4.828867,2.8795214
cell_97,6.993729,3.016794
cell_98,4.42443,2.8778064
cell_99,4.9086766,4.222416
cell_100,6.276446,1.9022417
cell_101,4.851261,4.190284
cell_102,6.5215054,2.3166335
cell_103,5.1248746,4.015443
cell_104,5.47184,3.5911744
cell_105,6.9225874,2.3066657
cell_106,5.3463435,3.79741
cell_107,7.307607,2.781046
cell_108,6.970328,3.3100517
cell_109,6.2345376,3.2336729
cell_110,-1.6553016,1.5008742
cell_111,6.4872217,3.0304592
cell_112,7.0350847,3.1586514
cell_113,3.5814946,2.2382407
cell_114,5.4621,3.4014926
cell_115,3.826261,2.323652
cell_116,4.0541472,2.9036598
cell_117,7.024553,2.3083568
cell_118,3.710317,4.7840924
cell_119,5.0085187,3.3972447
cell_120,5.191287,3.148268
cell_121,6.0895295,3.2777658
cell_122,7.5193796,2.7759473
cell_123,7.360101,2.3410494
cell_124,6.653005,3.1818316
cell_125,7.0989428,2.238671
cell_126,5.347661,3.3284757
cell_127,6.6849947,3.1946719
cell_128,7.1613216,2.181366
cell_129,7.1081724,2.7376459
cell_130,7.5566673,2.4891005
cell_131,7.243928,2.4419558
cell_132,7.1847777,2.8637033
cell_133,6.6539636,2.973876
cell_134,6.238815,3.2743442
cell_135,6.721858,2.0602732
cell_136,6.9021916,2.4541953
cell_137,7.104467,2.0595057
cell_138,6.598159,2.1361122
cell_139,6.777729,1.9719367
cell_140,6.91846,3.2752984
cell_141,6.70529,1.9119436
cell_142,7.0069175,2.799743
cell_143,7.1407976,2.489069
cell_144,6.9994707,2.5656302
cell_145,6.6312304,2.0130014
cell_146,6.661105,2.1830819
cell_147,7.061651,2.008218
cell_148,6.8727455,2.9935532
cell_149,7.040671,2.5876055
cell_150,7.133673,2.3098953
cell_151,6.9738345,3.1018686
cell_152,6.382166,2.0794742
cell_153,4.4779906,2.5391195
cell_154,6.561166,2.255765
cell_155,7.305768,2.5386755
cell_156,5.550849,2.172539
cell_157,6.5141606,2.1019764
cell_158,6.718485,2.1971848
cell_159,4.436298,3.0822864
cell_160,7.2703342,2.9183671
cell_161,6.7888923,2.375306
cell_162,1.226865,6.7254934
