,leiden
cell_1,3
cell_2,3
cell_3,3
cell_4,3
cell_5,3
cell_6,5
cell_7,3
cell_8,3
cell_9,3
cell_10,3
cell_11,3
cell_12,3
cell_13,5
cell_14,3
cell_15,3
cell_16,3
cell_17,3
cell_18,3
cell_19,3
cell_20,5
cell_21,3
cell_22,3
cell_23,3
cell_24,3
cell_25,5
cell_26,11
cell_27,3
cell_28,3
cell_29,3
cell_30,5
cell_31,5
cell_32,5
cell_33,3
cell_34,3
cell_35,3
cell_36,3
cell_37,3
cell_38,8
cell_39,8
cell_40,8
cell_41,4
cell_42,5
cell_43,5
cell_44,8
cell_45,8
cell_46,11
cell_47,4
cell_48,5
cell_49,4
cell_50,5
cell_51,11
cell_52,4
cell_53,5
cell_54,8
cell_55,5
cell_56,5
cell_57,5
cell_58,8
cell_59,11
cell_60,11
cell_61,8
cell_62,3
cell_63,8
cell_64,4
cell_65,4
cell_66,8
cell_67,5
cell_68,5
cell_69,4
cell_70,5
cell_71,4
cell_72,5
cell_73,4
cell_74,11
cell_75,8
cell_76,4
cell_77,11
cell_78,5
cell_79,4
cell_80,4
cell_81,4
cell_82,8
cell_83,8
cell_84,13
cell_85,8
cell_86,5
cell_87,13
cell_88,13
cell_89,8
cell_90,8
cell_91,8
cell_92,13
cell_93,8
cell_94,4
cell_95,8
cell_96,4
cell_97,13
cell_98,4
cell_99,8
cell_100,13
cell_101,8
cell_102,13
cell_103,8
cell_104,8
cell_105,13
cell_106,8
cell_107,13
cell_108,13
cell_109,13
cell_110,3
cell_111,13
cell_112,13
cell_113,4
cell_114,8
cell_115,4
cell_116,4
cell_117,13
cell_118,8
cell_119,8
cell_120,8
cell_121,13
cell_122,13
cell_123,13
cell_124,13
cell_125,13
cell_126,8
cell_127,13
cell_128,13
cell_129,13
cell_130,13
cell_131,13
cell_132,13
cell_133,13
cell_134,13
cell_135,13
cell_136,13
cell_137,13
cell_138,13
cell_139,13
cell_140,13
cell_141,13
cell_142,13
cell_143,13
cell_144,13
cell_145,13
cell_146,13
cell_147,13
cell_148,13
cell_149,13
cell_150,13
cell_151,13
cell_152,13
cell_153,4
cell_154,13
cell_155,13
cell_156,4
cell_157,13
cell_158,13
cell_159,4
cell_160,13
cell_161,13
cell_162,5
cell_163,5
cell_164,5
cell_165,5
cell_166,5
cell_167,5
cell_168,5
cell_169,11
cell_170,5
cell_171,8
cell_172,9
cell_173,15
cell_174,8
cell_175,5
cell_176,5
cell_177,11
cell_178,15
cell_179,14
cell_180,11
cell_181,5
cell_182,5
cell_183,9
cell_184,5
cell_185,11
cell_186,5
cell_187,9
cell_188,5
cell_189,11
cell_190,9
cell_191,5
cell_192,5
cell_193,14
cell_194,5
cell_195,5
cell_196,11
cell_197,5
cell_198,11
cell_199,5
cell_200,12
cell_201,11
cell_202,5
cell_203,11
cell_204,5
cell_205,14
cell_206,5
cell_207,5
cell_208,5
cell_209,9
cell_210,11
cell_211,5
cell_212,5
cell_213,5
cell_214,15
cell_215,5
cell_216,5
cell_217,9
cell_218,15
cell_219,5
cell_220,5
