,X_umap1,X_umap2
cell_6,5.437639,-0.3066578
cell_13,5.5453954,-0.2637801
cell_20,5.4017134,-0.6589613
cell_25,8.77387,3.0457342
cell_26,7.9540977,2.974742
cell_30,7.2245536,1.6794164
cell_31,5.6810007,-0.54879457
cell_32,5.766093,-0.8397174
cell_38,5.571765,5.4578614
cell_39,5.7674503,3.5184908
cell_40,6.240534,4.75931
cell_41,5.080564,5.4489594
cell_42,7.845265,2.772457
cell_43,5.6299005,3.6143534
cell_44,6.0568724,3.6788478
cell_45,4.649241,6.446257
cell_46,6.9790397,2.9018357
cell_47,4.334572,5.992467
cell_48,6.4422035,2.6884737
cell_49,5.264114,4.866414
cell_50,6.6996813,2.867965
cell_51,6.930324,3.2336798
cell_52,5.6004305,4.8432536
cell_53,6.0663576,3.6857095
cell_54,6.5581737,4.0541177
cell_55,7.18553,2.2464385
cell_56,6.084489,3.4319687
cell_57,6.907956,2.7422135
cell_58,6.2739916,4.5822554
cell_59,6.7060714,3.1392233
cell_60,6.795571,2.575875
cell_61,6.538012,4.287697
cell_63,6.073801,4.1917343
cell_64,5.4494066,4.3418417
cell_65,5.5596504,3.763601
cell_66,5.747672,4.690696
cell_67,5.8597026,3.912188
cell_68,6.373396,3.4316285
cell_69,5.1649313,4.65719
cell_70,6.3501344,3.336197
cell_71,5.0867662,5.2980356
cell_72,6.507535,3.5056162
cell_73,5.7665915,4.263983
cell_74,7.0873694,2.494252
cell_75,6.1005526,4.645678
cell_76,4.143462,5.786215
cell_77,6.981011,3.786522
cell_78,7.466778,2.0717807
cell_79,4.5610795,5.9100194
cell_80,4.0587654,6.8602505
cell_81,4.596101,6.2672377
cell_82,5.8923264,4.2088804
cell_83,4.909396,6.50355
cell_84,2.9250588,7.816579
cell_85,5.90495,4.615617
cell_86,6.6584773,3.2444859
cell_87,3.321625,8.807898
cell_88,2.2795804,8.657917
cell_89,4.5182447,6.525428
cell_90,4.413278,6.9086294
cell_91,4.747058,6.732427
cell_92,3.5260298,8.263051
cell_93,4.688427,6.4351287
cell_94,4.620018,5.8859167
cell_95,6.039861,4.589866
cell_96,4.4368362,6.2104197
cell_97,3.089875,8.624996
cell_98,4.609099,5.89624
cell_99,5.2154846,5.8053446
cell_100,2.1545951,7.960418
cell_101,5.7666373,5.1793723
cell_102,2.5240083,8.2010765
cell_103,5.1424365,6.1340446
cell_104,4.437464,6.4421387
cell_105,2.4192836,8.165252
cell_106,4.8677993,6.517897
cell_107,2.6216772,9.487359
cell_108,3.2977374,8.7542095
cell_109,3.6685345,7.9622293
cell_111,3.2178855,8.066731
cell_112,2.972758,9.069493
cell_113,4.375738,5.525676
cell_114,4.502505,7.045547
cell_115,4.4528737,5.8358355
cell_116,4.5089107,5.5435843
cell_117,2.328898,9.4744625
