,leiden
cell_6,13
cell_13,13
cell_20,13
cell_25,1
cell_26,1
cell_30,12
cell_31,13
cell_32,13
cell_38,8
cell_39,4
cell_40,8
cell_41,8
cell_42,1
cell_43,8
cell_44,8
cell_45,8
cell_46,1
cell_47,8
cell_48,1
cell_49,8
cell_50,1
cell_51,1
cell_52,8
cell_53,8
cell_54,8
cell_55,1
cell_56,1
cell_57,1
cell_58,8
cell_59,1
cell_60,1
cell_61,8
cell_63,8
cell_64,8
cell_65,8
cell_66,8
cell_67,8
cell_68,1
cell_69,8
cell_70,1
cell_71,8
cell_72,8
cell_73,8
cell_74,1
cell_75,8
cell_76,8
cell_77,8
cell_78,1
cell_79,8
cell_80,8
cell_81,8
cell_82,8
cell_83,8
cell_84,10
cell_85,8
cell_86,1
cell_87,10
cell_88,10
cell_89,8
cell_90,8
cell_91,8
cell_92,10
cell_93,8
cell_94,8
cell_95,8
cell_96,8
cell_97,10
cell_98,8
cell_99,8
cell_100,10
cell_101,8
cell_102,10
cell_103,8
cell_104,8
cell_105,10
cell_106,8
cell_107,10
cell_108,10
cell_109,10
cell_111,10
cell_112,10
cell_113,8
cell_114,8
cell_115,8
cell_116,8
cell_117,10
cell_118,8
cell_119,8
cell_120,3
cell_121,10
cell_122,10
cell_123,10
cell_124,10
cell_125,10
cell_126,8
cell_127,10
cell_128,10
cell_129,10
cell_130,10
cell_131,10
cell_132,10
cell_133,10
cell_134,10
cell_135,10
cell_136,10
cell_137,10
cell_138,10
cell_139,10
cell_140,10
cell_141,10
cell_142,10
cell_143,10
cell_144,10
cell_145,10
cell_146,10
cell_147,10
cell_148,10
cell_149,10
cell_150,10
cell_151,10
cell_152,10
cell_153,8
cell_154,10
cell_155,10
cell_156,10
cell_157,10
cell_158,10
cell_159,8
cell_160,10
cell_161,10
cell_162,1
cell_163,1
cell_164,1
cell_165,1
cell_166,1
cell_167,1
cell_168,1
cell_169,1
cell_170,1
cell_171,8
cell_174,8
cell_175,1
cell_176,1
cell_177,1
cell_180,1
cell_181,1
cell_182,1
cell_184,1
cell_185,1
cell_186,1
cell_188,1
cell_189,1
cell_191,6
cell_195,1
cell_196,1
cell_197,1
cell_198,1
cell_199,1
cell_200,1
cell_201,1
cell_202,1
cell_203,1
cell_204,1
cell_207,1
cell_208,1
cell_210,1
cell_211,1
cell_212,1
cell_213,1
cell_215,1
cell_216,1
cell_219,1
cell_220,1
cell_221,1
cell_225,1
cell_226,1
cell_227,1
cell_229,1
cell_230,1
cell_231,1
cell_233,1
cell_234,1
cell_235,1
cell_236,1
cell_237,1
cell_238,1
cell_239,1
cell_240,1
cell_255,13
cell_262,1
cell_275,12
cell_276,12
cell_277,12
cell_278,12
cell_279,4
cell_281,12
cell_283,4
cell_284,12
cell_285,12
cell_289,9
cell_294,12
cell_296,12
cell_297,1
cell_298,12
cell_317,1
cell_318,1
cell_319,1
cell_320,8
cell_321,1
cell_322,8
cell_323,1
cell_324,1
cell_325,1
cell_326,1
cell_327,1
cell_328,1
cell_329,1
cell_330,1
cell_331,1
cell_332,1
cell_358,1
cell_359,1
cell_360,1
cell_362,1
cell_365,1
cell_366,9
cell_368,1
cell_369,9
cell_371,1
cell_372,4
cell_379,1
cell_380,1
cell_382,1
cell_383,1
cell_386,1
cell_396,1
cell_399,1
cell_400,1
cell_404,1
cell_405,8
cell_406,1
cell_408,8
cell_430,12
cell_433,12
cell_437,12
cell_440,12
cell_444,12
cell_445,12
cell_447,12
cell_448,12
cell_451,12
cell_453,12
cell_454,12
cell_458,1
cell_459,12
cell_463,12
cell_474,4
cell_475,1
cell_476,1
cell_479,8
cell_480,1
cell_481,1
cell_482,1
cell_483,1
cell_484,1
cell_485,8
cell_486,1
cell_487,1
cell_488,1
cell_489,1
cell_517,1
cell_518,1
cell_519,1
cell_521,1
cell_522,1
cell_523,1
cell_525,1
cell_527,1
cell_528,1
cell_532,1
cell_534,1
cell_536,1
cell_540,1
cell_544,1
cell_555,1
cell_557,1
cell_560,1
cell_561,12
cell_567,1
cell_568,9
cell_575,1
cell_576,4
cell_577,0
cell_578,0
cell_579,0
cell_580,0
cell_581,3
cell_582,7
cell_583,0
cell_584,7
cell_585,2
cell_586,7
cell_587,5
cell_588,5
cell_589,5
cell_590,4
cell_592,11
cell_593,0
cell_594,0
cell_595,2
cell_596,2
cell_597,5
cell_598,7
cell_599,7
cell_600,11
cell_601,0
cell_602,5
cell_603,11
cell_604,2
cell_605,11
cell_606,0
cell_607,7
cell_608,5
cell_609,9
cell_610,4
cell_611,5
cell_612,11
cell_613,6
cell_614,4
cell_615,2
cell_616,4
cell_617,7
cell_618,4
cell_619,9
cell_620,9
cell_621,11
cell_622,4
cell_623,4
cell_625,5
cell_626,0
cell_627,0
cell_628,2
cell_629,0
cell_630,0
cell_631,2
cell_632,0
cell_633,2
cell_634,0
cell_635,2
cell_636,0
cell_637,6
cell_638,0
cell_639,0
cell_640,0
cell_641,11
cell_642,2
cell_643,7
cell_644,0
cell_646,11
cell_647,5
cell_648,0
cell_649,0
cell_650,0
cell_651,2
cell_652,4
cell_653,2
cell_654,0
cell_655,2
cell_656,2
cell_657,0
cell_658,7
cell_659,0
cell_660,7
cell_661,4
cell_662,3
cell_663,0
cell_664,0
cell_665,2
cell_667,2
cell_668,11
cell_669,4
cell_670,11
cell_671,4
cell_672,2
cell_673,7
cell_674,2
cell_675,11
cell_676,0
cell_677,4
cell_678,3
cell_679,9
cell_680,4
cell_681,5
cell_682,5
cell_683,0
cell_684,3
cell_685,11
cell_686,2
cell_687,3
cell_688,4
cell_689,7
cell_690,0
cell_691,5
cell_692,2
cell_693,0
cell_694,3
cell_695,9
cell_696,11
cell_697,9
cell_698,4
cell_699,0
cell_700,0
cell_701,3
cell_702,11
cell_703,0
cell_704,5
cell_705,5
cell_706,5
cell_707,9
cell_708,2
cell_709,5
cell_710,11
cell_711,2
cell_712,11
cell_713,11
cell_714,4
cell_715,0
cell_716,11
cell_717,5
cell_718,0
cell_719,0
cell_720,0
cell_721,9
cell_722,5
cell_723,5
cell_724,5
cell_725,5
cell_726,3
cell_727,9
cell_728,11
cell_729,7
cell_730,7
cell_732,0
cell_733,5
cell_734,2
cell_735,0
cell_736,2
cell_737,9
cell_738,3
cell_739,0
cell_740,0
cell_741,0
cell_742,0
cell_743,11
cell_744,2
cell_745,3
cell_746,5
cell_747,0
cell_748,0
cell_750,5
cell_751,11
cell_752,5
cell_753,5
cell_754,0
cell_755,0
cell_756,0
cell_757,5
cell_758,9
cell_759,2
cell_760,0
cell_761,2
cell_762,6
cell_763,6
cell_764,0
cell_765,7
cell_766,4
cell_767,2
cell_768,0
cell_769,5
cell_770,2
cell_771,9
cell_772,0
cell_773,7
cell_774,7
cell_775,4
cell_776,5
cell_777,11
cell_778,0
cell_779,2
cell_780,7
cell_781,5
cell_782,0
cell_783,11
cell_784,11
cell_785,5
cell_786,11
cell_787,0
cell_788,11
cell_789,0
cell_790,5
cell_791,9
cell_792,0
cell_793,9
cell_794,2
cell_795,3
cell_796,11
cell_797,2
cell_798,3
cell_799,0
cell_800,5
cell_801,11
cell_802,4
cell_803,3
cell_804,3
cell_805,3
cell_806,7
cell_807,0
cell_808,2
cell_809,2
cell_810,0
cell_811,5
cell_812,3
cell_813,7
cell_814,7
cell_815,0
cell_816,0
cell_817,3
cell_818,6
cell_819,7
cell_820,7
cell_821,0
cell_822,5
cell_823,5
cell_824,5
cell_825,2
cell_826,9
cell_827,3
cell_828,0
cell_829,0
cell_830,0
cell_831,4
cell_832,4
cell_833,7
cell_834,4
cell_835,3
cell_836,0
cell_837,4
cell_838,3
cell_839,7
cell_840,7
cell_841,4
cell_842,4
cell_843,4
cell_844,7
cell_845,3
cell_846,7
cell_847,9
cell_848,4
cell_849,4
cell_850,4
cell_851,4
cell_852,7
cell_853,7
cell_854,2
cell_855,7
cell_856,7
cell_857,2
cell_858,4
cell_859,7
cell_860,11
cell_861,5
cell_862,11
cell_863,7
cell_864,5
cell_865,5
cell_866,7
cell_867,4
cell_868,4
cell_869,7
cell_870,7
cell_871,7
cell_872,4
cell_873,7
cell_874,3
cell_875,7
cell_876,4
cell_877,3
cell_878,3
cell_879,3
cell_880,3
cell_881,3
cell_882,4
cell_883,3
cell_884,3
cell_885,3
cell_886,0
cell_887,3
cell_888,3
cell_889,3
cell_890,3
cell_891,3
cell_892,5
cell_893,3
cell_894,3
cell_895,10
cell_896,0
cell_897,3
cell_898,7
cell_899,3
cell_900,3
cell_901,3
cell_902,3
cell_903,3
cell_904,3
cell_905,3
cell_906,11
cell_907,3
cell_908,4
cell_909,3
cell_910,3
cell_911,2
cell_912,7
cell_913,3
cell_914,4
cell_915,5
cell_916,5
cell_917,3
cell_918,3
cell_919,4
cell_920,3
cell_921,3
cell_922,4
cell_923,11
cell_924,3
cell_925,4
cell_926,3
cell_927,2
cell_928,3
cell_929,3
cell_930,8
cell_931,3
cell_932,4
cell_933,3
cell_934,4
cell_935,4
cell_937,2
cell_949,4
cell_950,9
cell_951,6
cell_952,6
cell_953,6
cell_954,9
cell_955,6
cell_956,2
cell_957,6
cell_958,6
cell_959,6
cell_960,9
cell_961,6
cell_962,9
cell_963,6
cell_964,9
cell_965,9
cell_966,6
cell_967,9
cell_968,6
cell_969,9
cell_970,6
cell_971,6
cell_972,4
cell_973,6
cell_974,6
cell_975,4
cell_976,6
cell_977,6
cell_978,9
cell_979,6
cell_980,9
cell_981,6
cell_982,3
cell_983,6
cell_984,6
cell_985,9
cell_986,13
