Cell	Population	TotalReads	UniqueMap	MulitMap	UnMap	UnMap_per	htseq__alignment_not_unique	htseq__ambiguous	htseq__no_feature	htseq__not_aligned	htseq__too_low_aQual
C208_MEP_neg	Runx1_MEP_neg	899733	658890	95908	144935	16.1086677936677	264142	178538	58404	0	0
C209_MEP_neg	Runx1_MEP_neg	780310	583382	89381	107547	13.7825992233856	241264	127735	36533	0	0
C210_MEP_neg	Runx1_MEP_neg	870602	649726	98379	122497	14.0703788872527	266867	146150	41919	0	0
C211_MEP_neg	Runx1_MEP_neg	1035910	786595	112163	137152	13.2397602108291	297436	166456	40792	0	0
C212_MEP_neg	Runx1_MEP_neg	1355987	1012228	146467	197292	14.5496970103696	395723	239010	58752	0	0
C213_MEP_neg	Runx1_MEP_neg	1746924	1286118	168251	292555	16.7468647748843	454965	325946	119388	0	0
C214_MEP_neg	Runx1_MEP_neg	1350041	992644	146587	210810	15.6150813197525	392865	226646	64054	0	0
C215_MEP_neg	Runx1_MEP_neg	1386143	1042439	148537	195167	14.0798604472987	397398	232119	64898	0	0
C216_MEP_neg	Runx1_MEP_neg	1123449	822349	129666	171434	15.2596157012913	357607	179417	61236	0	0
C217_MEP_neg	Runx1_MEP_neg	759236	562525	83879	112832	14.8612552618685	226408	119227	35155	0	0
C218_MEP_neg	Runx1_MEP_neg	925809	677641	109639	138529	14.9630215303589	300127	133789	45269	0	0
C219_MEP_neg	Runx1_MEP_neg	727757	543657	82322	101778	13.9851626298339	221219	104824	29391	0	0
C220_MEP_neg	Runx1_MEP_neg	1026019	715098	123671	187250	18.2501493637057	341422	136436	56256	0	0
C221_MEP_neg	Runx1_MEP_neg	1052015	746318	132700	172997	16.4443472764172	363961	125833	57206	0	0
C222_MEP_neg	Runx1_MEP_neg	968617	692111	123055	153451	15.8422782172933	345819	115069	46346	0	0
C223_MEP_neg	Runx1_MEP_neg	1254946	950910	140199	163837	13.0553027779681	370849	232262	53103	0	0
C224_MEP_neg	Runx1_MEP_neg	1220460	924175	133112	163173	13.3697949953296	359939	193748	44304	0	0
C225_MEP_neg	Runx1_MEP_neg	1526977	1144108	154955	227914	14.9258305789806	416867	279656	83140	0	0
C226_MEP_neg	Runx1_MEP_neg	1887301	1400993	178332	307976	16.3183297205904	481669	405817	125757	0	0
C227_MEP_neg	Runx1_MEP_neg	1524897	1128354	150990	245553	16.1029236728776	410731	316073	103737	0	0
C228_MEP_neg	Runx1_MEP_neg	1222899	903638	129956	189305	15.4800192002774	352710	228135	80250	0	0
C229_MEP_neg	Runx1_MEP_neg	896158	664580	100971	130607	14.5741041200324	269405	143064	37709	0	0
C230_MEP_neg	Runx1_MEP_neg	1161397	868132	126345	166920	14.3723464069564	337937	190204	58957	0	0
C231_MEP_neg	Runx1_MEP_neg	788057	582380	87922	117755	14.9424470564946	234215	122962	35313	0	0
C232_MEP_neg	Runx1_MEP_neg	1366549	1015729	142866	207954	15.2174565273547	379493	265892	77674	0	0
C233_MEP_neg	Runx1_MEP_neg	913541	682846	94462	136233	14.9126311791151	256783	166147	65593	0	0
C234_MEP_neg	Runx1_MEP_neg	1114453	846822	121255	146376	13.1343358580398	322416	187391	46721	0	0
C235_MEP_neg	Runx1_MEP_neg	918646	688902	103315	126429	13.7625374736297	277306	133503	33400	0	0
C236_MEP_neg	Runx1_MEP_neg	1101412	821086	113279	167047	15.1666224809608	305020	200388	58570	0	0
C237_MEP_neg	Runx1_MEP_neg	1634414	1219388	180396	234630	14.3556039045187	477754	260928	58994	0	0
C238_MEP_neg	Runx1_MEP_neg	1409256	1037514	152467	219275	15.5596286267364	409859	259780	64837	0	0
C239_MEP_neg	Runx1_MEP_neg	1025813	763400	102447	159966	15.5940702642684	275459	207722	58105	0	0
C240_MEP_neg	Runx1_MEP_neg	976650	715596	104701	156353	16.0091127834946	283829	165499	50213	0	0
C241_MEP_neg	Runx1_MEP_neg	1388734	1038380	137127	213227	15.3540562843568	364617	263857	82316	0	0
C242_MEP_neg	Runx1_MEP_neg	771090	573218	82553	115319	14.9553229843468	221492	141342	40335	0	0
C243_MEP_neg	Runx1_MEP_neg	844693	637102	94303	113288	13.4117365717486	247596	128282	33683	0	0
C244_MEP_neg	Runx1_MEP_neg	571806	415632	66131	90043	15.7471240245818	181295	88706	28276	0	0
C245_MEP_neg	Runx1_MEP_neg	699579	526567	79065	93947	13.4290766303734	210723	110679	30077	0	0
C246_MEP_neg	Runx1_MEP_neg	830173	623501	92037	114635	13.808567611811	251327	145680	41210	0	0
C247_MEP_neg	Runx1_MEP_neg	808879	594289	90862	123728	15.2962309566697	247978	132579	43412	0	0
C248_MEP_neg	Runx1_MEP_neg	761940	553904	82799	125237	16.4365960574323	223593	127021	41417	0	0
C249_MEP_neg	Runx1_MEP_neg	1068618	787610	111737	169271	15.8401786232311	302744	184920	51091	0	0
C250_MEP_neg	Runx1_MEP_neg	1401285	1043177	148915	209193	14.9286547704428	397102	260423	62132	0	0
C251_MEP_neg	Runx1_MEP_neg	106960	49886	185	56889	53.1871727748691	559	12	287	0	0
C252_MEP_neg	Runx1_MEP_neg	1364400	1037128	137152	190120	13.9343301084726	366829	257116	74192	0	0
C253_MEP_neg	Runx1_MEP_neg	930745	698281	102423	130041	13.9717108337944	271531	165970	43815	0	0
C254_MEP_neg	Runx1_MEP_neg	882144	667630	86595	127919	14.5009204846374	232276	188112	68170	0	0
C255_MEP_neg	Runx1_MEP_neg	979411	717583	105582	156246	15.9530575008857	284041	166095	55872	0	0
C256_MEP_neg	Runx1_MEP_neg	850986	641111	88703	121172	14.2390121576618	236173	157637	41099	0	0
C257_MEP_neg	Runx1_MEP_neg	1099284	835124	118675	145485	13.2345235626098	313176	176604	51929	0	0
C258_MEP_neg	Runx1_MEP_neg	657226	498013	71662	87551	13.3212928277335	189833	124745	31137	0	0
C259_MEP_neg	Runx1_MEP_neg	890668	677289	96950	116429	13.072098694463	257229	152067	41557	0	0
C260_MEP_neg	Runx1_MEP_neg	902126	675392	95410	131324	14.5571682891303	255047	161945	43470	0	0
C261_MEP_neg	Runx1_MEP_neg	984849	735352	106606	142891	14.5089247184086	286835	157909	39024	0	0
C262_MEP_neg	Runx1_MEP_neg	1224809	908608	122249	193952	15.835285338367	336900	236296	80661	0	0
C263_MEP_neg	Runx1_MEP_neg	1133763	861752	120012	151999	13.4065937942939	316917	196525	45666	0	0
C264_MEP_neg	Runx1_MEP_neg	903709	678306	100561	124842	13.8144026450993	270724	161209	39135	0	0
C265_MEP_pos	Runx1_MEP_pos	1366006	1012543	137729	215734	15.7930492252596	368263	267990	67038	0	0
C266_MEP_pos	Runx1_MEP_pos	1203554	893751	118055	191748	15.9318152737642	317568	255912	75391	0	0
C267_MEP_pos	Runx1_MEP_pos	1534515	1145957	138727	249831	16.2807792690199	366407	380022	130222	0	0
C268_MEP_pos	Runx1_MEP_pos	1346838	989939	136036	220863	16.3986314612448	365709	263209	80836	0	0
C269_MEP_pos	Runx1_MEP_pos	1302829	983319	127658	191852	14.7258005463495	341593	259823	78059	0	0
C270_MEP_pos	Runx1_MEP_pos	1104540	818967	103386	182187	16.4943777500136	277392	237053	87632	0	0
C271_MEP_pos	Runx1_MEP_pos	1178343	874901	123735	179707	15.2508225533652	333933	222496	61236	0	0
C272_MEP_pos	Runx1_MEP_pos	1579149	1146259	152223	280667	17.7733070153608	410723	278332	89947	0	0
C273_MEP_pos	Runx1_MEP_pos	2411717	1790777	224344	396596	16.4445496714581	591899	461235	144176	0	0
C274_MEP_pos	Runx1_MEP_pos	2158324	1599162	219926	339236	15.7175660373512	590945	401559	128198	0	0
C275_MEP_pos	Runx1_MEP_pos	1905751	1426603	191690	287458	15.0837124052408	503513	383702	97497	0	0
C276_MEP_pos	Runx1_MEP_pos	2546173	1905414	244170	396589	15.5758858490762	651301	505456	132619	0	0
C277_MEP_pos	Runx1_MEP_pos	937073	708731	97057	131285	14.0101144734722	254195	185858	45367	0	0
C278_MEP_pos	Runx1_MEP_pos	968869	745742	91027	132100	13.6344541934978	246171	195155	63304	0	0
C279_MEP_pos	Runx1_MEP_pos	960990	717289	95482	148219	15.4235736063851	253875	206475	61458	0	0
C280_MEP_pos	Runx1_MEP_pos	1216383	900664	118668	197051	16.1997495854513	316620	258638	91908	0	0
C281_MEP_pos	Runx1_MEP_pos	748640	537204	74547	136889	18.2850235092969	200800	144608	52517	0	0
C282_MEP_pos	Runx1_MEP_pos	1224470	937272	118800	168398	13.752725669065	310651	273646	82369	0	0
C283_MEP_pos	Runx1_MEP_pos	1380275	1048862	139154	192259	13.9290358805311	368347	287652	72855	0	0
C284_MEP_pos	Runx1_MEP_pos	1841518	1371224	181212	289082	15.6980273882742	481944	398004	103785	0	0
