gene_id	gene_name	gene_type	seqnames
1	ENSMUSG00000051951	Xkr4	protein_coding	chr1
2	ENSMUSG00000089699	Gm1992	lncRNA	chr1
3	ENSMUSG00000102331	Gm19938	lncRNA	chr1
4	ENSMUSG00000102343	Gm37381	lncRNA	chr1
5	ENSMUSG00000025900	Rp1	protein_coding	chr1
6	ENSMUSG00000025902	Sox17	protein_coding	chr1
7	ENSMUSG00000104238	Gm37587	lncRNA	chr1
8	ENSMUSG00000104328	Gm37323	lncRNA	chr1
9	ENSMUSG00000033845	Mrpl15	protein_coding	chr1
10	ENSMUSG00000025903	Lypla1	protein_coding	chr1
11	ENSMUSG00000033813	Tcea1	protein_coding	chr1
12	ENSMUSG00000002459	Rgs20	protein_coding	chr1
13	ENSMUSG00000085623	Gm16041	lncRNA	chr1
14	ENSMUSG00000033793	Atp6v1h	protein_coding	chr1
15	ENSMUSG00000025905	Oprk1	protein_coding	chr1
16	ENSMUSG00000033774	Npbwr1	protein_coding	chr1
17	ENSMUSG00000025907	Rb1cc1	protein_coding	chr1
18	ENSMUSG00000090031	4732440D04Rik	lncRNA	chr1
19	ENSMUSG00000087247	Alkal1	protein_coding	chr1
20	ENSMUSG00000033740	St18	protein_coding	chr1
21	ENSMUSG00000051285	Pcmtd1	protein_coding	chr1
22	ENSMUSG00000097797	Gm26901	lncRNA	chr1
23	ENSMUSG00000103067	Gm30414	lncRNA	chr1
24	ENSMUSG00000025909	Sntg1	protein_coding	chr1
25	ENSMUSG00000061024	Rrs1	protein_coding	chr1
26	ENSMUSG00000025911	Adhfe1	protein_coding	chr1
27	ENSMUSG00000079671	2610203C22Rik	lncRNA	chr1
28	ENSMUSG00000067879	Vxn	protein_coding	chr1
29	ENSMUSG00000099827	Gm29520	lncRNA	chr1
30	ENSMUSG00000025912	Mybl1	protein_coding	chr1
31	ENSMUSG00000045210	Vcpip1	protein_coding	chr1
32	ENSMUSG00000097893	1700034P13Rik	lncRNA	chr1
33	ENSMUSG00000025915	Sgk3	protein_coding	chr1
34	ENSMUSG00000046101	Mcmdc2	protein_coding	chr1
35	ENSMUSG00000098234	Snhg6	lncRNA	chr1
36	ENSMUSG00000099032	Tcf24	protein_coding	chr1
37	ENSMUSG00000025916	Ppp1r42	protein_coding	chr1
38	ENSMUSG00000087199	Gm15818	lncRNA	chr1
39	ENSMUSG00000025917	Cops5	protein_coding	chr1
40	ENSMUSG00000056763	Cspp1	protein_coding	chr1
41	ENSMUSG00000067851	Arfgef1	protein_coding	chr1
42	ENSMUSG00000042501	Cpa6	protein_coding	chr1
43	ENSMUSG00000048960	Prex2	protein_coding	chr1
44	ENSMUSG00000057715	A830018L16Rik	protein_coding	chr1
45	ENSMUSG00000097171	Gm17644	lncRNA	chr1
46	ENSMUSG00000101314	Gm29663	lncRNA	chr1
47	ENSMUSG00000016918	Sulf1	protein_coding	chr1
48	ENSMUSG00000025938	Slco5a1	protein_coding	chr1
49	ENSMUSG00000099498	Gm29283	lncRNA	chr1
50	ENSMUSG00000042414	Prdm14	protein_coding	chr1
51	ENSMUSG00000005886	Ncoa2	protein_coding	chr1
52	ENSMUSG00000101476	Gm29570	lncRNA	chr1
53	ENSMUSG00000025935	Tram1	protein_coding	chr1
54	ENSMUSG00000025937	Lactb2	protein_coding	chr1
55	ENSMUSG00000067813	Xkr9	protein_coding	chr1
56	ENSMUSG00000025932	Eya1	protein_coding	chr1
57	ENSMUSG00000054493	Gm9947	lncRNA	chr1
58	ENSMUSG00000025930	Msc	protein_coding	chr1
59	ENSMUSG00000032769	Trpa1	protein_coding	chr1
60	ENSMUSG00000092083	Kcnb2	protein_coding	chr1
61	ENSMUSG00000025925	Terf1	protein_coding	chr1
62	ENSMUSG00000032719	Sbspon	protein_coding	chr1
63	ENSMUSG00000067795	4930444P10Rik	protein_coding	chr1
64	ENSMUSG00000043716	Rpl7	protein_coding	chr1
65	ENSMUSG00000025921	Rdh10	protein_coding	chr1
66	ENSMUSG00000100868	Gm28095	lncRNA	chr1
67	ENSMUSG00000025920	Stau2	protein_coding	chr1
68	ENSMUSG00000089982	Gm7568	lncRNA	chr1
69	ENSMUSG00000025939	Ube2w	protein_coding	chr1
70	ENSMUSG00000079658	Eloc	protein_coding	chr1
71	ENSMUSG00000097744	D030040B21Rik	lncRNA	chr1
72	ENSMUSG00000025940	Tmem70	protein_coding	chr1
73	ENSMUSG00000025779	Ly96	protein_coding	chr1
74	ENSMUSG00000101640	Gm28376	lncRNA	chr1
75	ENSMUSG00000042686	Jph1	protein_coding	chr1
76	ENSMUSG00000100110	Gm28783	lncRNA	chr1
77	ENSMUSG00000025777	Gdap1	protein_coding	chr1
78	ENSMUSG00000099899	Gm28784	lncRNA	chr1
79	ENSMUSG00000067780	Pi15	protein_coding	chr1
80	ENSMUSG00000100053	Gm28154	lncRNA	chr1
81	ENSMUSG00000085125	Gm16070	lncRNA	chr1
82	ENSMUSG00000025776	Crispld1	protein_coding	chr1
83	ENSMUSG00000099895	Gm28153	lncRNA	chr1
84	ENSMUSG00000109887	Gm28756	lncRNA	chr1
85	ENSMUSG00000025774	Crisp4	protein_coding	chr1
86	ENSMUSG00000073735	Defb18	protein_coding	chr1
87	ENSMUSG00000067773	Defb41	protein_coding	chr1
88	ENSMUSG00000089787	Gm15825	lncRNA	chr1
89	ENSMUSG00000042596	Tfap2d	protein_coding	chr1
90	ENSMUSG00000025927	Tfap2b	protein_coding	chr1
91	ENSMUSG00000100538	Gm28340	lncRNA	chr1
92	ENSMUSG00000043760	Pkhd1	protein_coding	chr1
93	ENSMUSG00000089914	4930486I03Rik	lncRNA	chr1
94	ENSMUSG00000099906	Gm28653	lncRNA	chr1
95	ENSMUSG00000025929	Il17a	protein_coding	chr1
96	ENSMUSG00000041872	Il17f	protein_coding	chr1
97	ENSMUSG00000041859	Mcm3	protein_coding	chr1
98	ENSMUSG00000102121	Gm28065	lncRNA	chr1
99	ENSMUSG00000097934	6720483E21Rik	lncRNA	chr1
100	ENSMUSG00000025931	Paqr8	protein_coding	chr1
101	ENSMUSG00000041809	Efhc1	protein_coding	chr1
102	ENSMUSG00000041779	Tram2	protein_coding	chr1
103	ENSMUSG00000099971	Gm28287	lncRNA	chr1
104	ENSMUSG00000025933	Tmem14a	protein_coding	chr1
105	ENSMUSG00000025934	Gsta3	protein_coding	chr1
106	ENSMUSG00000099343	Gm28836	lncRNA	chr1
107	ENSMUSG00000067750	Khdc1a	protein_coding	chr1
108	ENSMUSG00000041722	Khdc1c	protein_coding	chr1
109	ENSMUSG00000085079	Khdc1b	protein_coding	chr1
110	ENSMUSG00000028033	Kcnq5	protein_coding	chr1
111	ENSMUSG00000041670	Rims1	protein_coding	chr1
112	ENSMUSG00000101227	Gm29506	lncRNA	chr1
113	ENSMUSG00000073730	4933415F23Rik	protein_coding	chr1
114	ENSMUSG00000097970	Gm27028	lncRNA	chr1
115	ENSMUSG00000100775	Gm29107	lncRNA	chr1
116	ENSMUSG00000026158	Ogfrl1	protein_coding	chr1
117	ENSMUSG00000099503	Gm28822	lncRNA	chr1
118	ENSMUSG00000026156	B3gat2	protein_coding	chr1
119	ENSMUSG00000026155	Smap1	protein_coding	chr1
120	ENSMUSG00000026154	Sdhaf4	protein_coding	chr1
121	ENSMUSG00000026153	Fam135a	protein_coding	chr1
122	ENSMUSG00000026147	Col9a1	protein_coding	chr1
123	ENSMUSG00000026141	Col19a1	protein_coding	chr1
124	ENSMUSG00000073725	Lmbrd1	protein_coding	chr1
125	ENSMUSG00000100483	Gm28237	lncRNA	chr1
126	ENSMUSG00000099392	Gm29414	lncRNA	chr1
127	ENSMUSG00000033569	Adgrb3	protein_coding	chr1
128	ENSMUSG00000073722	4931408C20Rik	protein_coding	chr1
129	ENSMUSG00000101514	Gm5524	lncRNA	chr1
130	ENSMUSG00000048411	Gm597	protein_coding	chr1
131	ENSMUSG00000053185	Gm9898	lncRNA	chr1
132	ENSMUSG00000048874	Phf3	protein_coding	chr1
133	ENSMUSG00000026064	Ptp4a1	protein_coding	chr1
134	ENSMUSG00000117310	Ptp4a1	protein_coding	chr1
135	ENSMUSG00000117091	Gm5698	protein_coding	chr1
136	ENSMUSG00000086727	4931428L18Rik	protein_coding	chr1
137	ENSMUSG00000100237	Gm28644	lncRNA	chr1
138	ENSMUSG00000100910	Gm29128	lncRNA	chr1
